selected_chem	prestwick_ID	jaccard_distance	tanimoto_similarity	similarity_ranking	prestwick_chemname	target_species	measured_n_inhibited_strains	most_similar_category
Cetrorelix	Prestw-301	0.7235772357723578	0.2764227642276422	1	Lisinopril	human	0	Overall
Cetrorelix	Prestw-919	0.7272727272727273	0.2727272727272727	2	Bacitracin	bacteria	33	Antibiotic
Cetrorelix	Prestw-314	0.7421875	0.2578125	3	Enalapril maleate	human	0	NA
Cetrorelix	Prestw-311	0.782258064516129	0.217741935483871	4	Ifenprodil tartrate	human	0	NA
Cetrorelix	Prestw-428	0.8	0.19999999999999996	5	Roxatidine Acetate HCl	human	0	NA
Cetrorelix	Prestw-559	0.8	0.19999999999999996	5	DO 897/99	not a drug	3	NA
Cetrorelix	Prestw-927	0.8045112781954887	0.19548872180451127	7	Quinapril HCl	human	0	NA
Cetrorelix	Prestw-486	0.8064516129032258	0.19354838709677424	8	Colistin sulfate	bacteria	23	NA
Cetrorelix	Prestw-125	0.8145161290322581	0.18548387096774188	9	Perphenazine	human	9	NA
Cetrorelix	Prestw-306	0.8153846153846154	0.18461538461538463	10	Clemastine fumarate	human	3	NA
Cetrorelix	Prestw-380	0.8161764705882353	0.18382352941176472	11	Clebopride maleate	human	0	NA
Cetrorelix	Prestw-399	0.816793893129771	0.18320610687022898	12	Prochlorperazine dimaleate	human	9	NA
Cetrorelix	Prestw-408	0.8181818181818182	0.18181818181818177	13	Butoconazole nitrate	fungi	23	Non-antibiotic with BSA
Cetrorelix	Prestw-19	0.8189655172413793	0.18103448275862066	14	Captopril	human	0	NA
Cetrorelix	Prestw-322	0.8201438848920863	0.17985611510791366	15	Alfuzosin hydrochloride	human	1	NA
Cetrorelix	Prestw-1284	0.8235294117647058	0.17647058823529416	16	Hydroxychloroquine sulfate	protozoa	0	NA
Cetrorelix	Prestw-626	0.8253968253968254	0.17460317460317465	17	Racecadotril	human	0	NA
Cetrorelix	Prestw-497	0.826530612244898	0.173469387755102	18	Vancomycin hydrochloride	bacteria	31	NA
Cetrorelix	Prestw-316	0.8285714285714286	0.17142857142857137	19	Glibenclamide	human	0	NA
Cetrorelix	Prestw-1008	0.8294573643410853	0.1705426356589147	20	Gabexate mesilate	not a drug	0	NA
Cetrorelix	Prestw-389	0.831081081081081	0.16891891891891897	21	Ketoconazole	fungi	12	NA
Cetrorelix	Prestw-132	0.8345864661654135	0.16541353383458646	22	Loxapine succinate	human	8	NA
Cetrorelix	Prestw-476	0.8345864661654135	0.16541353383458646	22	Primaquine diphosphate	protozoa	0	NA
Cetrorelix	Prestw-915	0.8345864661654135	0.16541353383458646	22	Lorglumide sodium salt	not a drug	1	NA
Cetrorelix	Prestw-657	0.8346456692913385	0.16535433070866146	25	Benzamil hydrochloride	human	1	NA
Cetrorelix	Prestw-352	0.8347107438016529	0.1652892561983471	26	Dobutamine hydrochloride	human	0	NA
Cetrorelix	Prestw-304	0.835820895522388	0.16417910447761197	27	Econazole nitrate	fungi	27	NA
Cetrorelix	Prestw-376	0.835820895522388	0.16417910447761197	27	Clofazimine	bacteria	29	NA
Cetrorelix	Prestw-896	0.8363636363636363	0.1636363636363637	29	N-Acetyl-L-leucine	human	0	NA
Cetrorelix	Prestw-327	0.8364779874213837	0.16352201257861632	30	Cefoperazone dihydrate	bacteria	36	NA
Cetrorelix	Prestw-1068	0.8368794326241135	0.16312056737588654	31	Thiethylperazine dimalate	human	7	NA
