chem_id	umap1	umap2	Chemical Library	ProductName	n_predicted_inhibited_strains	antibiotic	Reported Activity
HY-16980A	4.0675254	5.1138444	MCE	Eravacycline (dihydrochloride)	40	abx	NA
HY-B2136	12.631118	6.9125566	MCE	Tannic acid	40	not_abx	Antibacterial
HY-B0117	4.2468476	5.116776	MCE	Tigecycline	40	abx	NA
HY-A0059	7.663646	4.4415426	MCE	Nifuratel	40	abx	NA
HY-B0117C	4.2665195	5.088496	MCE	Tigecycline (tetramesylate)	40	abx	NA
HY-B0425A	7.1904454	10.524332	MCE	Novobiocin (Sodium)	40	abx	NA
HY-B1907	6.7235255	4.9326262	MCE	Rifamycin (sodium)	40	abx	NA
HY-14865C	4.3598843	5.095769	MCE	Omadacycline (hydrochloride)	40	abx	NA
HY-B0449	3.7337432	5.2947445	MCE	Methacycline (hydrochloride)	40	abx	NA
HY-B0501	4.4065375	8.980681	MCE	Danofloxacin (mesylate)	39	abx	NA
HY-B0024	4.450937	9.309303	MCE	Prulifloxacin	39	abx	NA
HY-B0183	7.660226	12.758333	MCE	Ellagic acid	39	not_abx	Antibacterial
HY-100584	2.0958242	3.230438	MCE	Davercin	39	abx	NA
HY-17592	8.924279	9.99927	MCE	Bithionol	39	not_abx	Antibacterial
HY-13451	4.354646	9.213953	MCE	Finafloxacin	39	abx	NA
HY-B0395C	4.428397	8.862247	MCE	Sitafloxacin (hydrate)	39	abx	NA
HY-13055	8.428304	8.641169	MCE	Telotristat etiprate	39	not_abx	NA
HY-B1916	2.1666949	3.250296	MCE	Acetylspiramycin	38	abx	NA
HY-N7096	7.22332	3.3749216	MCE	Ceftezole (sodium)	38	abx	NA
HY-B0186B	7.2633057	2.938768	MCE	Cefoselis (sulfate)	38	abx	NA
HY-P1959A	6.0878797	3.6136482	MCE	Lanreotide (acetate)	38	not_abx	NA
HY-107801	7.6875653	5.697104	MCE	Inosine pranobex	38	not_abx	Antiviral
HY-A0170	5.0573087	9.457858	MCE	Trovafloxacin	38	abx	NA
HY-13673A	5.972186	3.4142997	MCE	Goserelin (acetate)	38	not_abx	NA
HY-B0686	6.023543	3.1348703	MCE	Eptifibatide	38	not_abx	NA
HY-B1466	6.707562	4.2229605	MCE	Mezlocillin (sodium)	37	abx	NA
HY-N7097	6.9074626	4.481553	MCE	Sulbenicillin (disodium)	37	abx	NA
HY-14814A	5.347317	9.6932955	MCE	Delafloxacin (meglumine)	37	abx	NA
HY-77036	8.781057	5.788653	MCE	Furagin	37	abx	NA
HY-13581A	6.0519857	3.5115044	MCE	Buserelin (Acetate)	37	not_abx	NA
HY-P0009A	6.0548754	3.604391	MCE	Cetrorelix (Acetate)	37	not_abx	NA
HY-13534A	6.1725984	3.7629592	MCE	Abarelix (Acetate)	37	not_abx	NA
HY-108365	2.1907282	3.4544373	MCE	Gamithromycin	37	abx	NA
HY-16168A	6.19122	3.7462645	MCE	Degarelix	37	not_abx	NA
HY-14896	7.68116	10.335459	MCE	Opicapone	37	not_abx	NA
HY-B1802A	5.332814	9.569355	MCE	Tosufloxacin (tosylate hydrate)	37	abx	NA
HY-B0226	8.932384	6.0579133	MCE	Nitrofurazone	37	abx	NA
HY-108402A	7.545258	3.095438	MCE	Cefodizime (sodium)	36	abx	NA
HY-108402	7.488652	3.0412254	MCE	Cefodizime	36	abx	NA
HY-14737	7.552107	3.1787062	MCE	Ceftaroline fosamil	36	abx	NA
HY-17365	6.1583896	3.6776662	MCE	Octreotide (acetate)	36	not_abx	NA
HY-17586	7.5527873	4.8431106	MCE	Dalbavancin (hydrochloride)	36	abx	NA
HY-B1300	7.1226053	4.1057963	MCE	Cefonicid (sodium)	36	abx	NA
HY-B1369	5.726616	2.5509372	MCE	Imipenem monohydrate	36	abx	NA
HY-15602A	5.294687	8.396149	MCE	Ledipasvir (acetone)	36	not_abx	Antiviral
HY-P0084	6.055759	3.468047	MCE	Cyclic somatostatin	36	not_abx	Antibacterial
HY-B1484	7.233664	4.223842	MCE	Moxalactam (sodium salt)	36	abx	NA
HY-17405	5.880697	3.4846478	MCE	Alarelin (Acetate)	36	not_abx	NA
HY-13665	5.918762	3.4349713	MCE	Leuprolide (Acetate)	36	not_abx	NA
HY-B0875	7.3662205	3.0837393	MCE	Cefmenoxime (hydrochloride)	36	abx	NA
HY-17580	2.343418	2.7762024	MCE	Fidaxomicin	36	abx	NA
HY-B1128A	7.071496	3.9669435	MCE	Cefamandole (sodium)	36	abx	NA
HY-P0017	5.637907	2.9596875	MCE	Aprotinin	35	not_abx	Antibacterial
HY-P0163	6.0522532	3.5743651	MCE	Gramicidin	35	abx	NA
HY-B0771A	7.749689	2.8061152	MCE	Cefozopran (hydrochloride)	35	abx	NA
HY-17452A	7.5247865	2.9952028	MCE	Cefditoren (Pivoxil)	35	abx	NA
HY-N7120	6.827344	5.254116	MCE	Penicillin G Procaine	35	abx	NA
HY-13997	6.0330696	6.034217	MCE	Ombitasvir	35	not_abx	Antiviral
HY-100196A	9.2522545	9.780966	MCE	Pyrroloquinoline quinone (disodium salt)	35	not_abx	Antibacterial
HY-12530	5.614941	8.800179	MCE	Velpatasvir	35	not_abx	Antiviral
HY-15459	4.6688886	5.7248464	MCE	Cabazitaxel	35	not_abx	NA
HY-B1831A	7.538726	4.8512235	MCE	Oritavancin (diphosphate)	35	abx	NA
HY-B1212	7.4693317	11.905589	MCE	Broxyquinoline	35	not_abx	Antibacterial
HY-121144	7.210574	3.472168	MCE	Cefazedone	35	abx	NA
HY-16477	6.555588	10.511321	MCE	Talaporfin (sodium)	35	not_abx	Antibacterial
HY-12177	5.6845317	4.6490073	MCE	Aliskiren (hemifumarate)	35	not_abx	NA
HY-B0837	2.136268	3.0723255	MCE	Emamectin (Benzoate)	34	not_abx	Insecticide
HY-A0261	6.103409	3.6315713	MCE	Pentagastrin	34	not_abx	NA
HY-10218	2.4000452	2.9997942	MCE	Everolimus	34	not_abx	Antibacterial
HY-N2306A	8.3362665	4.1061754	MCE	Aclacinomycin A hydrochloride	34	abx	NA
HY-B1924	7.4413013	4.8323097	MCE	Norvancomycin (hydrochloride)	34	abx	NA
HY-B1894A	7.25808	2.8509235	MCE	Cefetamet pivoxil (hydrochloride)	34	abx	NA
HY-B1275	7.4401107	3.3065252	MCE	Cephalothin (sodium)	34	abx	NA
HY-17584	5.6531534	2.8294427	MCE	Linaclotide	34	not_abx	NA
HY-15789	6.061443	8.706422	MCE	Elbasvir	34	not_abx	Antiviral
HY-50910	2.4660146	3.0117593	MCE	Temsirolimus	34	not_abx	NA
HY-B0724A	4.677695	9.480783	MCE	Pazufloxacin (mesylate)	34	abx	NA
HY-N0488	4.3674207	7.964777	MCE	Vincristine (sulfate)	33	not_abx	Antibacterial
HY-15781A	5.721729	3.6908734	MCE	Morinidazole (R enantiomer)	33	abx	NA
HY-15781	5.642666	3.7133155	MCE	Morinidazole	33	abx	NA
HY-17381	8.578025	4.2506640000000004	MCE	Idarubicin (hydrochloride)	33	abx	NA
HY-10241	4.9129796	8.346991	MCE	Simeprevir	33	not_abx	Antibacterial
HY-16321	7.3384037	4.8338585	MCE	Micafungin (sodium)	33	not_abx	Antifungal
HY-13725A	8.66832	4.215209	MCE	Pirarubicin (Hydrochloride)	33	abx	NA
HY-B1400	7.6566453	12.054983	MCE	Diiodohydroxyquinoline	33	not_abx	Antibacterial
HY-B1244	6.476994	3.23064	MCE	Dimetridazole	33	not_abx	Antiparasitic
HY-B1596	7.5066023	2.9938061	MCE	Ceftizoxime	33	abx	NA
HY-13772	8.587493	4.227405	MCE	Valrubicin	33	abx	NA
HY-100500	6.7066674	4.5364246	MCE	Lenampicillin (hydrochloride)	33	abx	NA
HY-10219	2.4597578	2.9939625	MCE	Rapamycin	33	not_abx	Antibacterial
HY-B0974	7.10839	4.616612	MCE	Methicillin (sodium salt)	33	abx	NA
HY-B1908	2.2365592	3.1213887	MCE	Midecamycin	33	abx	NA
HY-A0153A	7.3527856	3.1108527	MCE	Cephapirin (sodium)	32	abx	NA
HY-13723	2.5837283	3.1807156	MCE	Pimecrolimus	32	not_abx	Antifungal
HY-15664	5.7131405	3.0788548	MCE	Bivalirudin (TFA)	32	not_abx	NA
HY-N7101	7.13654	2.680407	MCE	Cefpodoxime Proxetil	32	abx	NA
HY-15602B	5.2362323	8.421433	MCE	Ledipasvir (D-tartrate)	32	not_abx	Antiviral
HY-17571A	5.6134787	2.861294	MCE	Oxytocin (acetate)	32	not_abx	NA
HY-B0911	6.2151933	6.2619324	MCE	Sodium copper chlorophyllin A	32	not_abx	Antibacterial
HY-15602	5.2054296	8.2261095	MCE	Ledipasvir	32	not_abx	Antiviral
HY-P0053	6.004472	3.4033458	MCE	Fertirelin	32	not_abx	NA
HY-B1159	7.046282	12.057641	MCE	Nitroxoline	32	abx	NA
HY-17565	6.8028097	2.531861	MCE	Bleomycin (sulfate)	31	abx	NA
HY-17565A	6.758089	2.5864105	MCE	Bleomycin (hydrochloride)	31	abx	NA
HY-B0621	7.987598	10.354625	MCE	Triclabendazole	31	not_abx	Antibacterial
HY-N7139B	7.232315	6.1099515	MCE	Penicillin G benzathine (tetrahydrate)	31	abx	NA
HY-107329	5.885952	2.214683	MCE	Cefathiamidine	30	abx	NA
HY-B0108	5.7630525	2.98872	MCE	Daptomycin	30	abx	NA
HY-19638A	8.101691	1.3148162	MCE	Cangrelor (tetrasodium)	30	not_abx	NA
HY-16973	8.001544	7.8952436	MCE	Fluralaner	30	not_abx	NA
HY-B1156	5.624897	2.6093068	MCE	Cephradine	29	abx	NA
HY-B0698A	7.6068664	2.9469926	MCE	Ceftibuten (dihydrate)	29	abx	NA
HY-B0396	4.092975	3.8979187	MCE	Tebipenem pivoxil	29	abx	NA
HY-N0457A	11.754204	6.071893	MCE	L-Chicoric Acid	29	not_abx	Antibacterial
HY-A0248	5.4334493	2.7486727	MCE	Polymyxin B (Sulfate)	29	abx	NA
HY-N0457	11.707149	6.066794	MCE	Cichoric Acid	29	not_abx	Antibacterial
HY-P0049	5.7653723	2.8462539	MCE	Argipressin	29	not_abx	NA
HY-B1028	5.0732465	2.1443684	MCE	Pantethine	29	not_abx	NA
HY-P0083	5.7281766	2.8932264	MCE	Ornipressin	28	not_abx	NA
HY-18678A	6.105028	3.5365899	MCE	Bremelanotide (Acetate)	28	not_abx	NA
HY-14137	6.580074	8.852206	MCE	Rimonabant (Hydrochloride)	28	not_abx	NA
HY-B1360	7.425475	11.4543495	MCE	Chlorquinaldol	28	not_abx	Antibacterial
HY-B1050	4.5682144	9.006396	MCE	Gemifloxacin (mesylate)	27	abx	NA
HY-B2229	6.688042	2.7208822	MCE	Sulbutiamine	27	not_abx	Antiparasitic
HY-17573	5.505699	2.777905	MCE	Carbetocin	27	not_abx	NA
HY-19344	7.4675856	10.47813	MCE	Lifitegrast	27	not_abx	NA
HY-16219	6.1195836	4.637082	MCE	Gadoxetate (Disodium)	27	not_abx	NA
HY-17460A	6.074613	9.667668	MCE	Garenoxacin (Mesylate hydrate)	27	abx	NA
HY-13948A	6.1422462	3.7176554	MCE	Angiotensin II human (acetate)	26	not_abx	Antiplasmodium
HY-P0108	6.133484	3.7220142	MCE	Angiotensin II 5-valine	26	not_abx	NA
HY-10238	4.5998707	5.2571344	MCE	Danoprevir	26	not_abx	Antiviral
HY-12594	4.7033253	8.762493	MCE	Paritaprevir	26	not_abx	Antiviral
HY-P0205B	5.7445774	3.1678553	MCE	Saralasin (TFA)	25	not_abx	NA
